fold,seed,run_id,run_name,run_state,topology,role,evaluation_step,distance_m,selection_mean_distance_m
node_6,1,CV-3WAY-FEATURES-node_6_seed_1_job_0000_3ee0ad1a488f,CV-3WAY-FEATURES-node_6_seed_1_job_0000_3ee0ad1a488f,finished,tetrahedron,train,1240197,0.798196145468254,1.7942985984537347
node_6,2,CV-3WAY-FEATURES-node_6_seed_2_job_0001_740e0d999873,CV-3WAY-FEATURES-node_6_seed_2_job_0001_740e0d999873,finished,tetrahedron,train,1240197,1.4332377551051936,1.7942985984537347
node_6,3,CV-3WAY-FEATURES-node_6_seed_3_job_0002_0d7a19b6b608,CV-3WAY-FEATURES-node_6_seed_3_job_0002_0d7a19b6b608,finished,tetrahedron,train,1240197,3.1514618947877566,1.7942985984537347
node_6,1,CV-3WAY-FEATURES-node_6_seed_1_job_0000_3ee0ad1a488f,CV-3WAY-FEATURES-node_6_seed_1_job_0000_3ee0ad1a488f,finished,usevitch_210272254_p1,train,1841133,1.588790634657478,2.0430577180905485
node_6,2,CV-3WAY-FEATURES-node_6_seed_2_job_0001_740e0d999873,CV-3WAY-FEATURES-node_6_seed_2_job_0001_740e0d999873,finished,usevitch_210272254_p1,train,1841133,2.115507203158888,2.0430577180905485
node_6,3,CV-3WAY-FEATURES-node_6_seed_3_job_0002_0d7a19b6b608,CV-3WAY-FEATURES-node_6_seed_3_job_0002_0d7a19b6b608,finished,usevitch_210272254_p1,train,1841133,2.424875316455279,2.0430577180905485
node_6,1,CV-3WAY-FEATURES-node_6_seed_1_job_0000_3ee0ad1a488f,CV-3WAY-FEATURES-node_6_seed_1_job_0000_3ee0ad1a488f,finished,usevitch_60243677150_p1,train,1900920,1.33578393852827,1.489511350083997
node_6,2,CV-3WAY-FEATURES-node_6_seed_2_job_0001_740e0d999873,CV-3WAY-FEATURES-node_6_seed_2_job_0001_740e0d999873,finished,usevitch_60243677150_p1,train,1900920,1.7056588437254927,1.489511350083997
node_6,3,CV-3WAY-FEATURES-node_6_seed_3_job_0002_0d7a19b6b608,CV-3WAY-FEATURES-node_6_seed_3_job_0002_0d7a19b6b608,finished,usevitch_60243677150_p1,train,1900920,1.4270912679982288,1.489511350083997
node_8,1,CV-3WAY-FEATURES-node_8_seed_1_job_0003_78d9c5ab1895,CV-3WAY-FEATURES-node_8_seed_1_job_0003_78d9c5ab1895,finished,henneberg_n5_1tube_1,train,800256,1.4421260657312178,1.327759077655676
node_8,2,CV-3WAY-FEATURES-node_8_seed_2_job_0004_500c6d99587b,CV-3WAY-FEATURES-node_8_seed_2_job_0004_500c6d99587b,finished,henneberg_n5_1tube_1,train,800256,0.9907969316050348,1.327759077655676
node_8,3,CV-3WAY-FEATURES-node_8_seed_3_job_0005_22f5ed932b7e,CV-3WAY-FEATURES-node_8_seed_3_job_0005_22f5ed932b7e,finished,henneberg_n5_1tube_1,train,800256,1.5503542356307751,1.327759077655676
node_8,1,CV-3WAY-FEATURES-node_8_seed_1_job_0003_78d9c5ab1895,CV-3WAY-FEATURES-node_8_seed_1_job_0003_78d9c5ab1895,finished,henneberg_n6_1tube_2,train,880128,0.7127202961996364,1.0701478312243122
node_8,2,CV-3WAY-FEATURES-node_8_seed_2_job_0004_500c6d99587b,CV-3WAY-FEATURES-node_8_seed_2_job_0004_500c6d99587b,finished,henneberg_n6_1tube_2,train,880128,1.1462471090291824,1.0701478312243122
node_8,3,CV-3WAY-FEATURES-node_8_seed_3_job_0005_22f5ed932b7e,CV-3WAY-FEATURES-node_8_seed_3_job_0005_22f5ed932b7e,finished,henneberg_n6_1tube_2,train,880128,1.3514760884441182,1.0701478312243122
node_8,1,CV-3WAY-FEATURES-node_8_seed_1_job_0003_78d9c5ab1895,CV-3WAY-FEATURES-node_8_seed_1_job_0003_78d9c5ab1895,finished,henneberg_n6_2tube_1,train,880128,0.7611028199281804,1.0400379869676384
node_8,2,CV-3WAY-FEATURES-node_8_seed_2_job_0004_500c6d99587b,CV-3WAY-FEATURES-node_8_seed_2_job_0004_500c6d99587b,finished,henneberg_n6_2tube_1,train,880128,0.9990222763841472,1.0400379869676384
node_8,3,CV-3WAY-FEATURES-node_8_seed_3_job_0005_22f5ed932b7e,CV-3WAY-FEATURES-node_8_seed_3_job_0005_22f5ed932b7e,finished,henneberg_n6_2tube_1,train,880128,1.3599888645905875,1.0400379869676384
node_8,1,CV-3WAY-FEATURES-node_8_seed_1_job_0003_78d9c5ab1895,CV-3WAY-FEATURES-node_8_seed_1_job_0003_78d9c5ab1895,finished,henneberg_n8_1tube_57,heldout,61440,0.3161493515220399,0.34668014064002417
node_8,2,CV-3WAY-FEATURES-node_8_seed_2_job_0004_500c6d99587b,CV-3WAY-FEATURES-node_8_seed_2_job_0004_500c6d99587b,finished,henneberg_n8_1tube_57,heldout,61440,0.4344545989764151,0.34668014064002417
node_8,3,CV-3WAY-FEATURES-node_8_seed_3_job_0005_22f5ed932b7e,CV-3WAY-FEATURES-node_8_seed_3_job_0005_22f5ed932b7e,finished,henneberg_n8_1tube_57,heldout,61440,0.2894364714216175,0.34668014064002417
node_8,1,CV-3WAY-FEATURES-node_8_seed_1_job_0003_78d9c5ab1895,CV-3WAY-FEATURES-node_8_seed_1_job_0003_78d9c5ab1895,finished,henneberg_n8_2tube_187,heldout,440832,-0.1795306070491835,0.13796641242798524
node_8,2,CV-3WAY-FEATURES-node_8_seed_2_job_0004_500c6d99587b,CV-3WAY-FEATURES-node_8_seed_2_job_0004_500c6d99587b,finished,henneberg_n8_2tube_187,heldout,440832,0.1460018433774807,0.13796641242798524
node_8,3,CV-3WAY-FEATURES-node_8_seed_3_job_0005_22f5ed932b7e,CV-3WAY-FEATURES-node_8_seed_3_job_0005_22f5ed932b7e,finished,henneberg_n8_2tube_187,heldout,440832,0.4474280009556585,0.13796641242798524
node_8,1,CV-3WAY-FEATURES-node_8_seed_1_job_0003_78d9c5ab1895,CV-3WAY-FEATURES-node_8_seed_1_job_0003_78d9c5ab1895,finished,henneberg_n8_3tube_64,heldout,520704,0.1255614961570803,0.19036215783464094
node_8,2,CV-3WAY-FEATURES-node_8_seed_2_job_0004_500c6d99587b,CV-3WAY-FEATURES-node_8_seed_2_job_0004_500c6d99587b,finished,henneberg_n8_3tube_64,heldout,520704,0.4641384112176472,0.19036215783464094
node_8,3,CV-3WAY-FEATURES-node_8_seed_3_job_0005_22f5ed932b7e,CV-3WAY-FEATURES-node_8_seed_3_job_0005_22f5ed932b7e,finished,henneberg_n8_3tube_64,heldout,520704,-0.0186134338708047,0.19036215783464094
node_8,1,CV-3WAY-FEATURES-node_8_seed_1_job_0003_78d9c5ab1895,CV-3WAY-FEATURES-node_8_seed_1_job_0003_78d9c5ab1895,finished,octahedron,train,760320,4.256142558820978,2.0406783845239995
node_8,2,CV-3WAY-FEATURES-node_8_seed_2_job_0004_500c6d99587b,CV-3WAY-FEATURES-node_8_seed_2_job_0004_500c6d99587b,finished,octahedron,train,760320,1.0007557437539316,2.0406783845239995
node_8,3,CV-3WAY-FEATURES-node_8_seed_3_job_0005_22f5ed932b7e,CV-3WAY-FEATURES-node_8_seed_3_job_0005_22f5ed932b7e,finished,octahedron,train,760320,0.865136850997089,2.0406783845239995
node_8,1,CV-3WAY-FEATURES-node_8_seed_1_job_0003_78d9c5ab1895,CV-3WAY-FEATURES-node_8_seed_1_job_0003_78d9c5ab1895,finished,tetrahedron,train,380928,0.7472380378773096,0.7952346243854186
node_8,2,CV-3WAY-FEATURES-node_8_seed_2_job_0004_500c6d99587b,CV-3WAY-FEATURES-node_8_seed_2_job_0004_500c6d99587b,finished,tetrahedron,train,380928,1.03348149733561,0.7952346243854186
node_8,3,CV-3WAY-FEATURES-node_8_seed_3_job_0005_22f5ed932b7e,CV-3WAY-FEATURES-node_8_seed_3_job_0005_22f5ed932b7e,finished,tetrahedron,train,380928,0.6049843379433362,0.7952346243854186
node_8,1,CV-3WAY-FEATURES-node_8_seed_1_job_0003_78d9c5ab1895,CV-3WAY-FEATURES-node_8_seed_1_job_0003_78d9c5ab1895,finished,usevitch_210272254_p1,heldout,0,-0.0522415835983934,0.24669990778191317
node_8,2,CV-3WAY-FEATURES-node_8_seed_2_job_0004_500c6d99587b,CV-3WAY-FEATURES-node_8_seed_2_job_0004_500c6d99587b,finished,usevitch_210272254_p1,heldout,0,0.4569143954371418,0.24669990778191317
